STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_AREA,SHAPE_LEN
25,027,731500,25027731500,7315,Census Tract 7315,G5020,608884.00000000,0.00000000,+42.2630201,-071.8137677,6553485.41000000,150.44730000,5174,2136,0190184,171729,0004127,0171729,608841.17118199996,3557.00333423000
25,027,730801,25027730801,7308.01,Census Tract 7308.01,G5020,3158638.00000000,7980.00000000,+42.2816214,-071.8289741,34082670.84000000,782.43050000,3665,1557,0190133,171678,0004114,0171678,3166396.42134999996,9559.77803661000
25,027,737100,25027737100,7371,Census Tract 7371,G5020,25070055.00000000,1107345.00000000,+42.1770653,-071.7910143,281750155.19999999,6468.09360000,5116,2185,0190314,171859,0004157,0171859,26175550.72690000013,32579.13928140000
25,027,728100,25027728100,7281,Census Tract 7281,G5020,35700813.00000000,2374328.00000000,+42.3281705,-071.8835053,409808849.32999998,9407.91670000,4126,1561,0190064,171609,0004100,0171609,38072640.24740000069,30034.12612890000
25,027,727100,25027727100,7271,Census Tract 7271,G5020,38049457.00000000,1981773.00000000,+42.3116934,-071.9402820,430861902.36000001,9891.22820000,4806,1599,0190060,171605,0004099,0171605,40028540.56520000100,31472.94763240000
25,027,739400,25027739400,7394,Census Tract 7394,G5020,10094543.00000000,44807.00000000,+42.2936009,-071.6951211,109131211.09000000,2505.30790000,8851,3363,0190351,171898,0004166,0171898,10138661.82990000024,12903.45696710000
25,027,736300,25027736300,7363,Census Tract 7363,G5020,4134805.00000000,145071.00000000,+42.2148635,-071.8346413,46064747.42000000,1057.50110000,2426,1008,0190300,171845,0004154,0171845,4279572.21224999987,12432.40883250000
25,027,728200,25027728200,7282,Census Tract 7282,G5020,4164869.00000000,0.00000000,+42.3278132,-071.8209449,44827119.83000000,1029.08910000,3713,1455,0190068,171613,0004101,0171613,4164592.38884000015,10606.54636000000
25,027,733101,25027733101,7331.01,Census Tract 7331.01,G5020,2904414.00000000,161203.00000000,+42.2338553,-071.8362759,32995502.51000000,757.47250000,2058,860,0190276,171821,0004148,0171821,3065394.74744000006,8565.05148151000
25,027,718100,25027718100,7181,Census Tract 7181,G5020,41598694.00000000,9562396.00000000,+42.3550489,-071.7161570,550656327.85000002,12641.32980000,4355,1778,0190010,171555,0004088,0171555,51157851.40129999816,30436.62657600000
25,027,732802,25027732802,7328.02,Census Tract 7328.02,G5020,5583811.00000000,25337.00000000,+42.2287054,-071.7748010,60371866.50000000,1385.94730000,4122,1698,0190260,171805,0004144,0171805,5608752.41311000008,10701.47811750000
25,027,730802,25027730802,7308.02,Census Tract 7308.02,G5020,1046315.00000000,0.00000000,+42.2728831,-071.8270582,11261627.18000000,258.53140000,2046,855,0190137,171682,0004115,0171682,1046243.57834000001,8157.07662072000
25,027,730600,25027730600,7306,Census Tract 7306,G5020,6291950.00000000,30242.00000000,+42.2979763,-071.8252060,68046543.34000000,1562.13370000,8799,3007,0190120,171665,0004112,0171665,6321755.99966999982,12519.11135400000
25,027,731204,25027731204,7312.04,Census Tract 7312.04,G5020,411261.00000000,3084.00000000,+42.2450472,-071.8263878,4459632.26000000,102.37910000,2498,868,0190171,171716,0004124,0171716,414315.06291099999,2713.26957839000
25,027,733102,25027733102,7331.02,Census Tract 7331.02,G5020,1637409.00000000,133660.00000000,+42.2369961,-071.8500554,19062189.20000000,437.60760000,2224,944,0190279,171824,0004149,0171824,1770942.43118999992,7986.50783234000
